Geographic area,,Elementary-secondary revenue 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Per pupil,,,,,,,,,,,,,,,,,,,,
,,,From federal,From state,From local,Current,Capital,,current spending,,,,,,,,,,,,,,,,,,,,
,,Total,sources,sources,sources,spending,outlay,Other ,(whole dollars),Fall enrollment,Math ,reading,science,Net Worth,Net Worth (Excluding Equity in Own Home),Assets at Financial Institutions,,,Equity in Own Home,Equity in Motor Vehicles,Retirement accounts,,,Total Debt,Secured Debt,,,Unsecured Debt,Credit Card Debt
,,,,,,,,,,,,,,,,Total,Checking Accounts,Other Interest-Earning Accounts,,,Total,IRA or Keogh Accounts,401(k)Savings ,,Total,Home Debt,Vehicle Debt,Total,
Montana…..........................................................................,,"2,496,466","445,210","973,641","1,077,615","2,114,564","206,786","53,216","13,656","154,013",238,217,159,"258,100","76,650","10,100","2,500","7,000",(B),"21,300","76,000",(B),(B),"105,100",(B),(B),(B),(B),(B)
Nebraska…..........................................................................,,"6,106,544","639,242","2,051,725","3,415,577","5,314,404","658,013","150,213","16,147","328,848",238,212,162,"285,800","173,600","17,000","3,500","7,000","187,000","18,640",(B),(B),(B),(B),(B),(B),(B),(B),(B)
New Hampshire…..........................................................................,,"4,063,113","359,132","1,144,508","2,559,473","3,617,274","283,563","43,016","22,978","156,325",242,221,165,"412,600","172,600","22,000","5,430",(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
New Mexico…..........................................................................,,"6,820,219","1,345,640","4,336,502","1,138,077","5,177,019","974,661","65,967","17,844","289,851",224,201,143,"77,500","24,550","6,870","2,000","5,000","132,000","12,000","50,000",(B),(B),"31,200",(B),(B),(B),"5,500",(B)
North Carolina…..........................................................................,,"19,911,392","3,459,725","11,365,845","5,085,822","18,222,586","2,425,895",,"12,995","1,396,880",239,214,154,"170,400","64,270","8,700","2,672","5,000","180,000","10,690","56,000","40,000","49,900","77,700","100,000","150,000","13,500","11,000","4,500"
North Dakota…..........................................................................,,"2,491,793","383,727","1,152,225","955,841","2,054,456","400,402","67,350","17,102","119,016",241,216,161,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
Ohio…..........................................................................,,"31,534,772","3,709,527","10,916,431","16,908,814","27,145,110","3,161,374","909,745","17,257","1,550,261",239,216,157,"154,400","54,000","11,000","3,000","10,300","158,000","11,300","100,000","67,600","61,800","56,000","88,000","109,000","15,000","7,000","3,000"
Oklahoma…..........................................................................,,"9,342,705","1,292,905","4,169,611","3,880,189","7,911,566","1,082,925","168,546","12,162","647,207",233,207,153,"78,510","19,060","5,000","2,000","5,000","125,000","13,010","39,450","48,000","29,000","37,900","35,000","164,000","18,000","12,000","3,000"
Pennsylvania…..........................................................................,,"41,572,901","4,193,361","15,598,126","21,781,414","35,890,232","3,430,398","1,094,534","21,091","1,506,485",238,216,(B),"207,700","77,790","10,750","3,000","9,400","175,000","12,750","101,800","75,000","60,000","69,850","99,200","127,000","18,300","11,800","4,000"
Rhode Island…..........................................................................,,"3,105,270","394,229","1,249,968","1,461,073","2,935,214","197,008","49,738","22,110","122,128",237,216,152,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
South Carolina…..........................................................................,,"14,299,976","1,847,180","6,078,137","6,374,659","11,178,130","1,994,022","334,931","15,060","738,314",240,215,155,"129,900","36,350","10,000","3,000","6,840","150,000","13,000","50,300","56,200","31,000","53,000","75,600","120,000","16,200","8,000","3,000"
South Dakota…..........................................................................,,"2,321,396","451,291","712,527","1,157,578","1,837,793","572,881","54,605","12,828","140,930",238,214,157,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
Texas…..........................................................................,,"83,242,165","11,155,640","29,824,561","42,261,964","64,121,593","17,294,076","7,776,234","12,444","5,111,073",241,212,155,"149,500","43,410","7,600","2,500","5,400","162,000","12,890","55,000","40,000","40,000","61,000","100,000","164,000","20,000","9,300","5,000"
Utah…..........................................................................,,"8,651,130","684,827","4,373,186","3,593,117","6,989,218","1,419,533","183,859","11,342","609,785",242,219,160,"282,800","82,630","13,900","2,500","8,000","300,000","14,000","62,800","18,800","60,000","67,500","125,000","220,000","15,000","11,000","6,000"
Vermont…..........................................................................,,"2,643,353","274,994","2,300,911","67,448","2,468,229","170,471","14,614","28,818","81,266",235,213,163,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
Virginia…..........................................................................,,"24,378,947","2,396,083","10,069,106","11,913,758","21,613,081","2,269,337","102,245","17,104","1,258,795",238,214,165,"219,100","107,500","14,100","4,000","11,000","209,000","12,260","85,200","40,000","68,100","110,000","149,800","187,000","15,000","11,000","5,000"
Washington…..........................................................................,,"23,779,055","1,964,516","15,597,568","6,216,971","20,321,009","2,388,834","1,595,345","18,564","1,086,202",238,216,158,"456,500","139,800","16,500","5,000","9,000","392,000","16,580","143,400","50,000","95,280","144,000","223,000","250,000","15,000","10,000","4,000"
Wisconsin…..........................................................................,,"15,618,396","1,859,530","8,139,609","5,619,257","13,107,240","1,964,518","738,230","15,790","802,501",239,215,156,"188,000","76,040","10,500","2,500","6,340","175,000","11,300","58,000","42,000","47,000","65,000","98,000","133,000","16,000","8,100","4,000"
Wyoming…..........................................................................,,"2,121,410","329,807","961,660","829,943","1,871,145","220,240",668,"20,521","90,761",243,222,161,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
